Sample	PBC1	NRF	PBC2	bottlenecking	complexity	RiP	Sequences_flagged_as_poor_quality	Sequence_length	%GC	Total_reads	Mapped_reads	Mapped_paired_reads	Duplicates	Average_read_length	Average_insert_size	RiP_pct
Kras_colon_rep1	0.8358196716173775	0.8337098243989888	6.080267713726711	moderate	acceptable	45143564.0	0.0	51.0	44.0	320111836.0	176508124.0	173544016.0	50342898.0	51.0	174.7	14.102
Kras_colon_rep2	0.8652856113736178	0.8627729717074198	7.43531989818833	moderate	acceptable	38621792.0	0.0	51.0	44.0	260982020.0	146597593.0	144171894.0	37156979.0	51.0	169.6	14.799
Kras_colon_rep3	0.8428076812357568	0.8391588904439827	6.3975996636757655	moderate	acceptable	43524172.0	0.0	51.0	43.0	293158978.0	141148610.0	138490264.0	46777853.0	51.0	182.1	14.847
Kras_tumor_rep1	0.8589017541591936	0.8530782783344982	7.135625419510905	moderate	acceptable	83906672.0	0.0	51.0	48.0	286045264.0	246862883.0	242201226.0	51498391.0	51.0	155.1	29.333
Kras_tumor_rep2	0.8491892023460884	0.8413778252027707	6.7000736669418295	moderate	acceptable	116249623.0	0.0	51.0	49.0	336934818.0	288198231.0	283043102.0	60871370.0	51.0	154.6	34.502
Kras_tumor_rep3	0.8380276185364934	0.8308521038743174	6.2432065015674425	moderate	acceptable	148555763.0	0.0	51.0	48.0	414299040.0	363581796.0	357827856.0	85088087.0	51.0	169.9	35.857
WT_colon_rep1	0.8673650217576333	0.8627002675391785	7.631435568867669	moderate	acceptable	85621211.0	0.0	51.0	48.0	276701502.0	227019860.0	222936152.0	47926103.0	51.0	147.9	30.944
WT_colon_rep2	0.8442393975807002	0.8376317169788365	6.50935649086675	moderate	acceptable	91536097.0	0.0	51.0	48.0	312042062.0	234343093.0	229966968.0	57000494.0	51.0	149.0	29.335
WT_colon_rep3	0.8323776520065167	0.8295082873808698	5.988866561594107	moderate	acceptable	89350885.0	0.0	51.0	46.0	321328160.0	243042679.0	238457324.0	74117386.0	51.0	181.7	27.807
WT_tumor_rep1	0.8430743324550334	0.8170087785690625	6.5278982722927585	moderate	acceptable	142823253.0	0.0	51.0	50.0	367718684.0	310136522.0	304904662.0	74934732.0	51.0	161.4	38.84
WT_tumor_rep2	0.8535865918481133	0.8431695436584044	6.908593141207881	moderate	acceptable	91356156.0	0.0	51.0	48.0	359687924.0	233709654.0	229561644.0	50082595.0	51.0	137.2	25.399
WT_tumor_rep3	0.8616901369169547	0.8443911872072561	7.36986723673152	moderate	acceptable	108443838.0	0.0	51.0	49.0	307352874.0	244425822.0	240100906.0	49119714.0	51.0	151.0	35.283
