Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
Kras_colon_rep1	320111836.0	0.0	320111836.0	1.0	160055918.0	160055918.0	176508124.0	173544016.0	143603712.0	167820030.0	320111836.0	50342898.0	22386642.0	0.0	0.0	16325703636.0	8162851818.0	8162851818.0	9001914324.0	8988685439.0	0.0	2567487798.0	25227218.0	0.002806553	51.0	51.0	51.0	51.0	51.0	51.0	36.2	174.7	126.0	84298921.0	1960895.0	34406.0	477786.0	52.4	55.13951817764089	54.2135580391348	44.86048182235911	52.42543733996765	100.0	15.726659354138969	6.993381525574081	0.0
Kras_colon_rep2	260982020.0	0.0	260982020.0	1.0	130491010.0	130491010.0	146597593.0	144171894.0	114384427.0	139111148.0	260982020.0	37156979.0	18052022.0	0.0	0.0	13310083020.0	6655041510.0	6655041510.0	7476477243.0	7465447538.0	0.0	1895005929.0	25011770.0	0.003350338	51.0	51.0	51.0	51.0	51.0	51.0	35.8	169.6	119.8	69906161.0	1732913.0	29262.0	417611.0	53.3	56.171529747528204	55.242079128669474	43.828470252471796	53.302962403310396	100.0	14.237371218139854	6.916960026594936	0.0
Kras_colon_rep3	293158978.0	0.0	293158978.0	1.0	146579489.0	146579489.0	141148610.0	138490264.0	152010368.0	133345804.0	293158978.0	46777853.0	17464738.0	0.0	0.0	14951107878.0	7475553939.0	7475553939.0	7198579110.0	7187974922.0	0.0	2385670503.0	20339858.0	0.002829706	51.0	51.0	51.0	51.0	51.0	51.0	36.2	182.1	139.2	67046208.0	1810701.0	18969.0	369254.0	45.5	48.14746284181684	47.240669531874275	51.85253715818317	45.48583328735714	100.0	15.956479763686445	5.957429009730004	0.0
Kras_tumor_rep1	286045264.0	0.0	286045264.0	1.0	143022632.0	143022632.0	246862883.0	242201226.0	39182381.0	233380244.0	286045264.0	51498391.0	25447215.0	0.0	0.0	14588308464.0	7294154232.0	7294154232.0	12590007033.0	12568232381.0	0.0	2626417941.0	38374176.0	0.003053268	51.0	51.0	51.0	51.0	51.0	51.0	36.2	155.1	104.4	117378034.0	2919742.0	50398.0	752439.0	81.6	86.30203470175266	84.67234262616563	13.697965298247345	81.58857124094877	100.0	18.003581069603026	8.896219655641632	0.0
Kras_tumor_rep2	336934818.0	0.0	336934818.0	1.0	168467409.0	168467409.0	288198231.0	283043102.0	48736587.0	272674092.0	336934818.0	60871370.0	27848730.0	0.0	0.0	17183675718.0	8591837859.0	8591837859.0	14698109781.0	14672488615.0	0.0	3104439870.0	44261463.0	0.00301663	51.0	51.0	51.0	51.0	51.0	51.0	36.2	154.6	103.6	137119289.0	3498760.0	64419.0	839083.0	80.9	85.53530701003422	84.00529920894077	14.46469298996579	80.92784640618531	100.0	18.06621540668439	8.265316765214807	0.0
Kras_tumor_rep3	414299040.0	0.0	414299040.0	1.0	207149520.0	207149520.0	363581796.0	357827856.0	50717244.0	346956610.0	414299040.0	85088087.0	36414725.0	0.0	0.0	21129251040.0	10564625520.0	10564625520.0	18542671596.0	18510903937.0	0.0	4339492437.0	51966345.0	0.002807337	51.0	51.0	51.0	51.0	51.0	51.0	36.1	169.9	113.9	174236517.0	3697153.0	69559.0	910699.0	83.7	87.7583003812898	86.3694629849975	12.241699618710197	83.74545352555005	100.0	20.537843148272803	8.789478488774678	0.0
WT_colon_rep1	276701502.0	0.0	276701502.0	1.0	138350751.0	138350751.0	227019860.0	222936152.0	49681642.0	214475380.0	276701502.0	47926103.0	22420330.0	0.0	0.0	14111776602.0	7055888301.0	7055888301.0	11578012860.0	11558350754.0	0.0	2444231253.0	45060362.0	0.003898511	51.0	51.0	51.0	51.0	51.0	51.0	35.3	147.9	96.1	107987019.0	2853762.0	41426.0	585869.0	77.5	82.04504072406516	80.56918751384299	17.954959275934833	77.51146215317617	100.0	17.320506991682322	8.102713515447416	0.0
WT_colon_rep2	312042062.0	0.0	312042062.0	1.0	156021031.0	156021031.0	234343093.0	229966968.0	77698969.0	219394528.0	312042062.0	57000494.0	22139319.0	0.0	0.0	15914145162.0	7957072581.0	7957072581.0	11951497743.0	11933798067.0	0.0	2907025194.0	34694656.0	0.00290726	51.0	51.0	51.0	51.0	51.0	51.0	36.2	149.0	101.6	110577871.0	3709224.0	38491.0	657898.0	70.3	75.09984118743581	73.69742608610245	24.900158812564186	70.3092802918345	100.0	18.26692646326635	7.094979073686547	0.0
WT_colon_rep3	321328160.0	0.0	321328160.0	1.0	160664080.0	160664080.0	243042679.0	238457324.0	78285481.0	228776080.0	321328160.0	74117386.0	26515832.0	0.0	0.0	16387736160.0	8193868080.0	8193868080.0	12395176629.0	12377145759.0	0.0	3779986686.0	35145143.0	0.002839519	51.0	51.0	51.0	51.0	51.0	51.0	36.1	181.7	139.7	115116691.0	3453336.0	32772.0	625863.0	71.2	75.63690620828253	74.2099055370684	24.36309379171748	71.19702176118022	100.0	23.065947908206986	8.251947790694722	0.0
WT_tumor_rep1	367718684.0	0.0	367718684.0	1.0	183859342.0	183859342.0	310136522.0	304904662.0	57582162.0	295140618.0	367718684.0	74934732.0	29266117.0	0.0	0.0	18753652884.0	9376826442.0	9376826442.0	15816962622.0	15786273162.0	0.0	3821671332.0	46967831.0	0.002975232	51.0	51.0	51.0	51.0	51.0	51.0	36.2	161.4	106.4	148299651.0	3197224.0	69735.0	885721.0	80.3	84.34070268781882	82.91791395620245	15.659297312181177	80.26261129554135	100.0	20.37827699829362	7.958833280280096	0.0
