Module	Section	Sample Name	Source
bcbio	all_sections	WT_colon_rep1	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/multiqc/report/metrics/WT_colon_rep1_bcbio.txt
bcbio	all_sections	WT_colon_rep2	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/multiqc/report/metrics/WT_colon_rep2_bcbio.txt
bcbio	all_sections	WT_colon_rep3	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/multiqc/report/metrics/WT_colon_rep3_bcbio.txt
bcbio	all_sections	Kras_colon_rep1	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/multiqc/report/metrics/Kras_colon_rep1_bcbio.txt
bcbio	all_sections	Kras_colon_rep2	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/multiqc/report/metrics/Kras_colon_rep2_bcbio.txt
bcbio	all_sections	Kras_colon_rep3	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/multiqc/report/metrics/Kras_colon_rep3_bcbio.txt
bcbio	all_sections	WT_tumor_rep1	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/multiqc/report/metrics/WT_tumor_rep1_bcbio.txt
bcbio	all_sections	WT_tumor_rep2	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/multiqc/report/metrics/WT_tumor_rep2_bcbio.txt
bcbio	all_sections	WT_tumor_rep3	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/multiqc/report/metrics/WT_tumor_rep3_bcbio.txt
bcbio	all_sections	Kras_tumor_rep1	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/multiqc/report/metrics/Kras_tumor_rep1_bcbio.txt
bcbio	all_sections	Kras_tumor_rep2	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/multiqc/report/metrics/Kras_tumor_rep2_bcbio.txt
bcbio	all_sections	Kras_tumor_rep3	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/multiqc/report/metrics/Kras_tumor_rep3_bcbio.txt
Samtools	stats	Kras_colon_rep1	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_colon_rep1/samtools/Kras_colon_rep1.txt
Samtools	stats	Kras_colon_rep2	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_colon_rep2/samtools/Kras_colon_rep2.txt
Samtools	stats	Kras_colon_rep3	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_colon_rep3/samtools/Kras_colon_rep3.txt
Samtools	stats	Kras_tumor_rep1	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_tumor_rep1/samtools/Kras_tumor_rep1.txt
Samtools	stats	Kras_tumor_rep2	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_tumor_rep2/samtools/Kras_tumor_rep2.txt
Samtools	stats	Kras_tumor_rep3	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_tumor_rep3/samtools/Kras_tumor_rep3.txt
Samtools	stats	WT_colon_rep1	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_colon_rep1/samtools/WT_colon_rep1.txt
Samtools	stats	WT_colon_rep2	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_colon_rep2/samtools/WT_colon_rep2.txt
Samtools	stats	WT_colon_rep3	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_colon_rep3/samtools/WT_colon_rep3.txt
Samtools	stats	WT_tumor_rep1	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_tumor_rep1/samtools/WT_tumor_rep1.txt
Samtools	stats	WT_tumor_rep2	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_tumor_rep2/samtools/WT_tumor_rep2.txt
Samtools	stats	WT_tumor_rep3	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_tumor_rep3/samtools/WT_tumor_rep3.txt
Samtools	idxstats	Kras_colon_rep1-idxstats	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_colon_rep1/samtools/Kras_colon_rep1-idxstats.txt
Samtools	idxstats	Kras_colon_rep2-idxstats	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_colon_rep2/samtools/Kras_colon_rep2-idxstats.txt
Samtools	idxstats	Kras_colon_rep3-idxstats	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_colon_rep3/samtools/Kras_colon_rep3-idxstats.txt
Samtools	idxstats	Kras_tumor_rep1-idxstats	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_tumor_rep1/samtools/Kras_tumor_rep1-idxstats.txt
Samtools	idxstats	Kras_tumor_rep2-idxstats	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_tumor_rep2/samtools/Kras_tumor_rep2-idxstats.txt
Samtools	idxstats	Kras_tumor_rep3-idxstats	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/Kras_tumor_rep3/samtools/Kras_tumor_rep3-idxstats.txt
Samtools	idxstats	WT_colon_rep1-idxstats	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_colon_rep1/samtools/WT_colon_rep1-idxstats.txt
Samtools	idxstats	WT_colon_rep2-idxstats	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_colon_rep2/samtools/WT_colon_rep2-idxstats.txt
Samtools	idxstats	WT_colon_rep3-idxstats	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_colon_rep3/samtools/WT_colon_rep3-idxstats.txt
Samtools	idxstats	WT_tumor_rep1-idxstats	/n/scratch3/users/b/bs218/ATAC-Seq_Processing/kras_colon/work/qc/WT_tumor_rep1/samtools/WT_tumor_rep1-idxstats.txt
