"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060070","GO:0060070","canonical Wnt signaling pathway","48/1332","264/15600",4.04819884648448e-07,0.00112328977586383,0.00104604504053867,"Wnt6/Wnt10a/Rnf146/Hdac2/Foxo3/Csnk1g2/Ube2b/Thra/Axin2/Slc9a3r1/Notum/Ppm1a/Ccdc88c/Scel/Jrk/Mgat3/Prickle1/Wnt10b/Gsk3b/Prkn/Rab5a/Ppm1b/Ccny/Kank1/Pten/Hhex/Rapgef1/Ctnnd1/Tbl1xr1/Jade1/Wwtr1/Bcl9/Nfkb1/Tle1/Hdac1/Ptpru/Wnt5b/Caprin2/Lrrk1/Arntl/Adgra2/Nkd1/Bcl9l/Tle3/Xiap/Gpc3/Tbl1x/Amer1",48
"GO:0032870","GO:0032870","cellular response to hormone stimulus","70/1332","446/15600",4.11914109227662e-07,0.00112328977586383,0.00104604504053867,"Ncoa2/Lmbrd1/Inhbb/Rwdd1/Cry1/Socs2/Atp2b1/Stat6/Per1/Acaca/Thra/Nr1d1/Brca1/Ddx5/Rab10/Lpin1/Rock2/Esr2/Rab15/Hnrnpk/Pik3r1/Nr1d2/Bmp4/Ptk2/Foxh1/Wnt10b/Rarg/Sp1/Gsk3b/Tsc2/Daxx/Safb2/Fer/Anxa1/Kank1/Pten/Sfr1/Adra2a/Obp2a/Nr4a2/Ptprj/Cry2/Ocstamp/Ptpn1/Bmp7/Atp1a1/Nfkb1/H2az1/Leprot/Pik3r3/Hdac1/Prkcz/Epha5/Ywhag/Pdk4/Pparg/Adipor2/Phb2/Akt2/Ube3a/Igf1r/P2ry6/Arntl/Irs2/Gdf15/Pik3r2/Sesn3/Carm1/Smarca4/Rdx",70
"GO:0042752","GO:0042752","regulation of circadian rhythm","28/1332","120/15600",7.13408041078682e-07,0.00120476218017388,0.00112191487065775,"Phlpp1/Cry1/Adcy1/Per1/Nr1d1/Rock2/Id2/Cipc/Nr1d2/Fbxl3/Klf10/Fbxl6/Gsk3b/Fbxl17/Kdm2a/Cry2/Hnf4a/Noct/Tardbp/Bhlhe40/Pparg/Ube3a/Arntl/Nr2f6/Fbxl12/Suv39h1/Maged1/Nono",28
"GO:0060828","GO:0060828","regulation of canonical Wnt signaling pathway","41/1332","217/15600",1.00329886055977e-06,0.00120476218017388,0.00112191487065775,"Rnf146/Hdac2/Foxo3/Csnk1g2/Ube2b/Thra/Axin2/Slc9a3r1/Notum/Ppm1a/Ccdc88c/Scel/Jrk/Prickle1/Wnt10b/Gsk3b/Prkn/Ppm1b/Ccny/Kank1/Hhex/Rapgef1/Ctnnd1/Tbl1xr1/Jade1/Wwtr1/Nfkb1/Tle1/Hdac1/Ptpru/Wnt5b/Caprin2/Lrrk1/Arntl/Adgra2/Nkd1/Tle3/Xiap/Gpc3/Tbl1x/Amer1",41
"GO:0030111","GO:0030111","regulation of Wnt signaling pathway","49/1332","281/15600",1.104475779404e-06,0.00120476218017388,0.00112191487065775,"Lgr6/Rnf146/Hdac2/Foxo3/Csnk1g2/Ube2b/Rnf43/Thra/Axin2/Slc9a3r1/Notum/Ppm1a/Ccdc88c/Scel/Jrk/Prickle1/Wnt10b/Gsk3b/Prkn/Tsc2/Ppm1b/Ccny/Apcdd1/Kank1/Hhex/Rapgef1/Ctnnd1/Tbl1xr1/Jade1/Wwtr1/Nfkb1/Tle1/Hdac1/Ptpru/Mdfic/Klf15/Wnt5b/Caprin2/Lrrk1/Tsku/Arntl/Adgra2/Nkd1/Smarca4/Tle3/Xiap/Gpc3/Tbl1x/Amer1",49
"GO:0007623","GO:0007623","circadian rhythm","37/1332","200/15600",5.5574702672086e-06,0.00412553957809419,0.00384184055435981,"Ncoa2/Phlpp1/Hdac2/Cry1/Adcy1/Per1/Slc6a4/Nr1d1/Ddx5/Rock2/Id2/Cipc/Nr1d2/Fbxl3/Klf10/Fbxl6/Gsk3b/Dyrk1a/Fbxl17/Kdm2a/Pten/Cry2/Hnf4a/Noct/Ciart/Hdac1/Id3/Tardbp/Bhlhe40/Pparg/Ube3a/Arntl/Nr2f6/Fbxl12/Suv39h1/Maged1/Nono",37
"GO:0048511","GO:0048511","rhythmic process","46/1332","273/15600",6.04845092773183e-06,0.00412553957809419,0.00384184055435981,"Ncoa2/Phlpp1/Pla2g4a/Hdac2/Foxo3/Sgpl1/Cry1/Adcy1/Per1/Slc6a4/Nr1d1/Ddx5/Rock2/Id2/Esr2/Cipc/Nr1d2/Fbxl3/Klf10/Fbxl6/Sp1/Gsk3b/Dyrk1a/Fbxl17/Kdm2a/Anxa1/Pten/Cry2/Hnf4a/Noct/Ciart/Hdac1/Id3/Tardbp/Cdk5/Bhlhe40/Pparg/Ube3a/Chrna7/Igf1r/Arntl/Nr2f6/Fbxl12/Suv39h1/Maged1/Nono",46
"GO:0016055","GO:0016055","Wnt signaling pathway","59/1332","383/15600",6.0513965208569e-06,0.00412553957809419,0.00384184055435981,"Wnt6/Wnt10a/Lgr6/Rnf146/Hdac2/Foxo3/Csnk1g2/Ube2b/Rnf43/Thra/Axin2/Slc9a3r1/Notum/Hbp1/Ppm1a/Ccdc88c/Scel/Jrk/Mgat3/Prickle1/Wnt10b/Gsk3b/Prkn/Tsc2/Rab5a/Ppm1b/Ccny/Apcdd1/Kank1/Pten/Hhex/Ldb1/Rapgef1/Ctnnd1/Tbl1xr1/Jade1/Wwtr1/Bcl9/Nfkb1/Tle1/Hdac1/Ptpru/Mdfic/Klf15/Wnt5b/Caprin2/Lrrk1/Tsku/Arntl/Adgra2/Nkd1/Smarca4/Bcl9l/Tle3/Celsr3/Xiap/Gpc3/Tbl1x/Amer1",59
"GO:0198738","GO:0198738","cell-cell signaling by wnt","59/1332","385/15600",7.13125274978483e-06,0.00432153916636961,0.00402436193189612,"Wnt6/Wnt10a/Lgr6/Rnf146/Hdac2/Foxo3/Csnk1g2/Ube2b/Rnf43/Thra/Axin2/Slc9a3r1/Notum/Hbp1/Ppm1a/Ccdc88c/Scel/Jrk/Mgat3/Prickle1/Wnt10b/Gsk3b/Prkn/Tsc2/Rab5a/Ppm1b/Ccny/Apcdd1/Kank1/Pten/Hhex/Ldb1/Rapgef1/Ctnnd1/Tbl1xr1/Jade1/Wwtr1/Bcl9/Nfkb1/Tle1/Hdac1/Ptpru/Mdfic/Klf15/Wnt5b/Caprin2/Lrrk1/Tsku/Arntl/Adgra2/Nkd1/Smarca4/Bcl9l/Tle3/Celsr3/Xiap/Gpc3/Tbl1x/Amer1",59
"GO:1905114","GO:1905114","cell surface receptor signaling pathway involved in cell-cell signaling","69/1332","475/15600",8.12248598847817e-06,0.00443000385811599,0.00412536788362181,"Wnt6/Wnt10a/Lgr6/Rnf146/Hdac2/Foxo3/Csnk1g2/Ube2b/Nlgn2/Rnf43/Thra/Axin2/Slc9a3r1/Notum/Hbp1/Ppm1a/Ccdc88c/Bmp4/Scel/Jrk/Mgat3/Prickle1/Cacnb3/Wnt10b/Gsk3b/Prkn/Afdn/Tsc2/Slc29a1/Rab5a/Ppm1b/Ccny/Adrb2/Apcdd1/Kank1/Pten/Hhex/Ldb1/Rapgef1/Ctnnd1/Tbl1xr1/Jade1/Wwtr1/Bcl9/Nfkb1/Tle1/Hdac1/Ptpru/Prkcz/Cdk5/Mdfic/Klf15/Grip2/Wnt5b/Caprin2/Chrna7/Lrrk1/Tsku/Arntl/Adgra2/Nkd1/Smarca4/Bcl9l/Tle3/Celsr3/Xiap/Gpc3/Tbl1x/Amer1",69
