NAME,DESCRIPTION,WT_tumor_rep1,WT_tumor_rep2,WT_tumor_rep3,Kras_tumor_rep1,Kras_tumor_rep2,Kras_tumor_rep3
ENSMUSG00000051951,NA,530.5849339,376.8673282,450.6315081,437.112351,354.4147584,479.5657063
ENSMUSG00000025900,NA,7.218842638,4.187414758,0,1.214200975,0.965707789,3.468829702
ENSMUSG00000025902,NA,204.8346599,148.6532239,124.9478273,126.2769014,158.3760773,137.8859807
ENSMUSG00000025902,NA,60.4578071,57.57695292,46.08731333,64.35265168,69.53096078,65.04055691
ENSMUSG00000033845,NA,211.1511472,158.0749071,170.0109781,140.8473131,178.6559409,145.6908475
ENSMUSG00000025903,NA,218.3699898,177.9651272,189.4700659,142.0615141,163.2046163,138.7531881
ENSMUSG00000033813,NA,384.4033705,264.8539835,335.9253061,265.9100135,314.8207391,310.4602583
ENSMUSG00000002459,NA,145.2792081,171.6840051,170.0109781,177.2733424,174.7931097,166.5038257
ENSMUSG00000002459,NA,0.90235533,3.140561069,1.024162518,3.642602925,7.725662309,2.601622276
ENSMUSG00000033793,NA,124.5250355,88.98256361,114.7062021,75.28046046,100.43361,84.11912027
ENSMUSG00000025905,NA,74.89549237,71.18605089,57.35310103,66.78105363,48.28538943,70.24380146
ENSMUSG00000033774,NA,94.74730963,100.4979542,88.07797659,92.27927411,87.87940877,92.79119453
ENSMUSG00000025907,NA,3.609421319,2.093707379,2.048325037,2.42840195,4.828538943,6.937659404
ENSMUSG00000025907,NA,415.0834517,336.0400343,322.6111933,261.0532096,331.2377715,280.1079984
ENSMUSG00000087247,NA,67.67664973,50.2489771,55.304776,49.78223998,49.25109722,56.36848266
ENSMUSG00000033740,NA,13.53532995,23.03078117,20.48325037,13.35621073,19.31415577,6.937659404
ENSMUSG00000051285,NA,787.7562029,570.5352608,645.2223866,522.1064193,561.0762252,574.0913157
ENSMUSG00000051285,NA,2.707065989,7.327975827,6.144975111,3.642602925,1.931415577,10.40648911
ENSMUSG00000025909,NA,23.46123857,37.68673282,38.9181757,38.8544312,22.21127914,43.36037127
ENSMUSG00000025909,NA,30.68008121,43.96785496,53.25645096,38.8544312,37.66260376,42.49316385
ENSMUSG00000061024,NA,486.3695228,371.6330598,428.0999327,366.6886945,356.346174,365.0943261
ENSMUSG00000025911,NA,137.1580101,118.2944669,108.561227,112.9206907,103.3307334,103.1976836
ENSMUSG00000079671,NA,193.1040406,109.9196374,134.1652899,88.63667118,83.05086983,111.0025505
ENSMUSG00000025912,NA,5.414131979,6.281122137,14.33827526,8.499406826,8.691370098,5.203244553
ENSMUSG00000025912,NA,14.43768528,5.234268448,4.096650074,4.8568039,10.62278568,1.734414851
ENSMUSG00000025912,NA,384.4033705,309.8686921,326.7078434,315.6922535,326.4092326,323.4683697
ENSMUSG00000045210,NA,566.6791471,427.1163053,477.2597336,403.1147237,433.6027971,470.893632
ENSMUSG00000025915,NA,66.7742944,52.34268448,64.52223866,49.78223998,60.83959069,43.36037127
ENSMUSG00000025915,NA,83.01669034,79.5608804,74.76386385,71.63785753,95.60507108,57.23569008
ENSMUSG00000025915,NA,21.65652791,12.56224427,9.217462666,14.5704117,9.657077887,14.74252623
ENSMUSG00000046101,NA,12.63297462,11.51539058,6.144975111,13.35621073,4.828538943,14.74252623
ENSMUSG00000099032,NA,125.4273908,112.0133448,128.0203148,105.6354848,89.81082435,79.78308314
ENSMUSG00000025916,NA,138.0603655,88.98256361,83.98132651,55.85324485,60.83959069,65.04055691
ENSMUSG00000025916,NA,15.34004061,15.70280534,14.33827526,19.4272156,14.48561683,26.88343019
ENSMUSG00000056763,NA,124.5250355,90.0294173,112.657877,111.7064897,91.74223992,81.517498
ENSMUSG00000056763,NA,312.2149441,243.9169097,271.4030674,309.6212486,271.3638886,250.622946
ENSMUSG00000056763,NA,0.90235533,6.281122137,3.072487555,8.499406826,3.862831155,6.937659404
ENSMUSG00000056763,NA,6.316487309,11.51539058,10.24162518,19.4272156,11.58849346,8.672074255
ENSMUSG00000056763,NA,21.65652791,10.4685369,9.217462666,13.35621073,11.58849346,6.937659404
ENSMUSG00000056763,NA,11.73061929,13.60909796,15.36243778,6.071004875,7.725662309,7.804866829
ENSMUSG00000056763,NA,71.28607105,31.40561069,38.9181757,38.8544312,64.70242184,52.03244553
ENSMUSG00000056763,NA,21.65652791,14.65595165,22.53157541,19.4272156,18.34844798,19.94577079
ENSMUSG00000056763,NA,248.1477157,209.3707379,195.615041,205.1999648,188.3130188,247.1541163
ENSMUSG00000056763,NA,21.65652791,15.70280534,12.28995022,12.14200975,12.55420125,13.00811138
ENSMUSG00000056763,NA,83.91904567,87.93570992,101.3920893,97.13607801,84.9822854,80.65029057
ENSMUSG00000056763,NA,64.96958374,55.48324555,64.52223866,58.2816468,71.46237636,57.23569008
ENSMUSG00000056763,NA,27.07065989,16.74965903,17.41076281,25.49822048,20.27986356,16.47694108
ENSMUSG00000067851,NA,6.316487309,12.56224427,15.36243778,14.5704117,10.62278568,7.804866829
ENSMUSG00000067851,NA,51.4342538,43.96785496,41.99066326,66.78105363,66.63383742,50.29803068
ENSMUSG00000067851,NA,349.2115126,274.2756667,319.5387058,276.8378223,288.7466288,276.6391687
ENSMUSG00000042501,NA,12.63297462,3.140561069,10.24162518,10.92780878,11.58849346,12.14090396
ENSMUSG00000042501,NA,9.925908628,1.04685369,4.096650074,2.42840195,6.759954521,7.804866829
ENSMUSG00000048960,NA,52.33660913,46.06156234,41.99066326,41.28283315,40.55972712,33.82108959
ENSMUSG00000048960,NA,15.34004061,13.60909796,10.24162518,9.713607801,9.657077887,10.40648911
ENSMUSG00000048960,NA,4.511776649,18.84336641,10.24162518,6.071004875,15.45132462,13.00811138
ENSMUSG00000057715,NA,37.89892385,23.03078117,32.77320059,14.5704117,14.48561683,19.94577079
ENSMUSG00000057715,NA,1.80471066,4.187414758,2.048325037,7.285205851,1.931415577,8.672074255
ENSMUSG00000057715,NA,2.707065989,15.70280534,11.2657877,16.99881365,10.62278568,4.336037127
ENSMUSG00000016918,NA,26.16830456,20.93707379,21.50741289,16.99881365,19.31415577,13.00811138
ENSMUSG00000016918,NA,4.511776649,3.140561069,1.024162518,12.14200975,3.862831155,2.601622276
ENSMUSG00000016918,NA,36.99656852,25.12448855,34.82152563,35.21182828,31.86835703,34.68829702
ENSMUSG00000016918,NA,3.609421319,2.093707379,2.048325037,7.285205851,4.828538943,2.601622276
ENSMUSG00000016918,NA,16.24239594,11.51539058,13.31411274,13.35621073,13.51990904,12.14090396
ENSMUSG00000025938,NA,443.9588223,376.8673282,485.4530337,343.618876,334.1348949,349.4845925
ENSMUSG00000042414,NA,76.70020303,75.37346565,71.69137629,61.92424973,68.565253,79.78308314
ENSMUSG00000005886,NA,8.121197968,11.51539058,7.169137629,10.92780878,19.31415577,13.00811138
ENSMUSG00000005886,NA,45.11776649,60.71751399,54.28061348,75.28046046,70.49666857,60.70451978
ENSMUSG00000005886,NA,7.218842638,5.234268448,3.072487555,7.285205851,7.725662309,3.468829702
ENSMUSG00000005886,NA,872.5776039,683.5954593,799.8709269,637.4555119,638.3328483,639.99908
ENSMUSG00000025935,NA,248.1477157,230.3078117,257.0647921,235.5549892,223.0784992,211.5986118
ENSMUSG00000025937,NA,135.3532995,73.27975827,86.02965155,108.0638868,97.53648666,84.9863277
ENSMUSG00000025937,NA,511.635472,394.663841,373.8193192,314.4780526,376.6260376,324.3355771
ENSMUSG00000067813,NA,101.0637969,75.37346565,60.42558859,53.4248429,74.35949973,61.57172721
ENSMUSG00000097711,NA,2.707065989,2.093707379,5.120812592,3.642602925,4.828538943,8.672074255
ENSMUSG00000025932,NA,11.73061929,15.70280534,13.31411274,13.35621073,9.657077887,10.40648911
