Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chrX	chrY	chrM	chr1_GL456210_random	chr1_GL456211_random	chr1_GL456212_random	chr1_GL456213_random	chr1_GL456221_random	chr4_GL456216_random	chr4_GL456350_random	chr4_JH584292_random	chr4_JH584293_random	chr4_JH584294_random	chr4_JH584295_random	chr5_GL456354_random	chr5_JH584296_random	chr5_JH584297_random	chr5_JH584298_random	chr5_JH584299_random	chr7_GL456219_random	chrX_GL456233_random	chrY_JH584300_random	chrY_JH584301_random	chrY_JH584302_random	chrY_JH584303_random	chrUn_GL456239	chrUn_GL456359	chrUn_GL456360	chrUn_GL456366	chrUn_GL456367	chrUn_GL456368	chrUn_GL456370	chrUn_GL456372	chrUn_GL456378	chrUn_GL456379	chrUn_GL456381	chrUn_GL456382	chrUn_GL456383	chrUn_GL456385	chrUn_GL456387	chrUn_GL456389	chrUn_GL456390	chrUn_GL456392	chrUn_GL456393	chrUn_GL456394	chrUn_GL456396	chrUn_JH584304	*
Kras_colon_rep1-idxstats	[13591614, 195471971]	[12252988, 182113224]	[7922372, 160039680]	[9553488, 156508116]	[9122757, 151834684]	[8346864, 149736546]	[9271407, 145441459]	[7733807, 129401213]	[8650712, 124595110]	[7254378, 130694993]	[9005584, 122082543]	[6715054, 120129022]	[6460503, 120421639]	[6535232, 124902244]	[6185835, 104043685]	[5313114, 98207768]	[7058942, 94987271]	[4875464, 90702639]	[4128022, 61431566]	[3829962, 171031299]	[1653913, 91744698]	[20048537, 16299]	[18606, 169725]	[26497, 241735]	[20467, 153618]	[1141, 39340]	[23239, 206961]	[3417, 66673]	[6155, 227966]	[549, 14945]	[5804, 207968]	[5443, 191905]	[237, 1976]	[7533, 195993]	[7377, 199368]	[8049, 205776]	[7184, 184189]	[40120, 953012]	[3666, 175968]	[5946, 336933]	[3222, 182347]	[3904, 259875]	[2581, 155838]	[2835, 158099]	[8490, 40056]	[1606, 22974]	[1123, 31704]	[1593, 47073]	[922, 42057]	[941, 20208]	[2089, 26764]	[2474, 28664]	[2233, 31602]	[1238, 72385]	[1090, 25871]	[390, 23158]	[1656, 38659]	[1103, 35240]	[3883, 24685]	[10429, 28772]	[1355, 24668]	[19518, 23629]	[4864, 55711]	[888, 24323]	[2145, 21240]	[723573, 114452]	[0, 0]
Kras_colon_rep2-idxstats	[11237882, 195471971]	[10178940, 182113224]	[6575657, 160039680]	[8014579, 156508116]	[7648546, 151834684]	[6977672, 149736546]	[7793464, 145441459]	[6489720, 129401213]	[7117141, 124595110]	[6100208, 130694993]	[7639212, 122082543]	[5588633, 120129022]	[5379223, 120421639]	[5403995, 124902244]	[5192822, 104043685]	[4443235, 98207768]	[5954578, 94987271]	[4082870, 90702639]	[3493265, 61431566]	[3131113, 171031299]	[1333547, 91744698]	[16040014, 16299]	[14688, 169725]	[21516, 241735]	[16711, 153618]	[1016, 39340]	[18914, 206961]	[2954, 66673]	[4935, 227966]	[496, 14945]	[4555, 207968]	[4682, 191905]	[229, 1976]	[6483, 195993]	[6094, 199368]	[6275, 205776]	[5509, 184189]	[32359, 953012]	[2810, 175968]	[4899, 336933]	[2501, 182347]	[2963, 259875]	[1938, 155838]	[2358, 158099]	[6848, 40056]	[1363, 22974]	[837, 31704]	[1200, 47073]	[723, 42057]	[682, 20208]	[1593, 26764]	[1969, 28664]	[1784, 31602]	[924, 72385]	[813, 25871]	[310, 23158]	[1423, 38659]	[908, 35240]	[3195, 24685]	[7970, 28772]	[1111, 24668]	[14972, 23629]	[3739, 55711]	[664, 24323]	[1542, 21240]	[561822, 114452]	[0, 0]
Kras_colon_rep3-idxstats	[11272176, 195471971]	[8963635, 182113224]	[5652713, 160039680]	[7107112, 156508116]	[6747776, 151834684]	[6009572, 149736546]	[6849120, 145441459]	[5618302, 129401213]	[6168581, 124595110]	[5352818, 130694993]	[7296538, 122082543]	[4781753, 120129022]	[4671345, 120421639]	[4460312, 124902244]	[4594984, 104043685]	[3856858, 98207768]	[5474820, 94987271]	[3541072, 90702639]	[3369339, 61431566]	[3666225, 171031299]	[101310, 91744698]	[25010815, 16299]	[9456, 169725]	[13527, 241735]	[10334, 153618]	[793, 39340]	[11849, 206961]	[3511, 66673]	[3877, 227966]	[352, 14945]	[3551, 207968]	[3103, 191905]	[196, 1976]	[3893, 195993]	[4005, 199368]	[4295, 205776]	[3651, 184189]	[20565, 953012]	[2010, 175968]	[6440, 336933]	[31, 182347]	[108, 259875]	[41, 155838]	[112, 158099]	[4709, 40056]	[942, 22974]	[581, 31704]	[938, 47073]	[1044, 42057]	[524, 20208]	[1213, 26764]	[1111, 28664]	[1113, 31602]	[1230, 72385]	[1004, 25871]	[351, 23158]	[1077, 38659]	[593, 35240]	[2453, 24685]	[5909, 28772]	[949, 24668]	[10963, 23629]	[2815, 55711]	[781, 24323]	[1302, 21240]	[434132, 114452]	[0, 0]
Kras_tumor_rep1-idxstats	[17061430, 195471971]	[18181539, 182113224]	[11712234, 160039680]	[14618389, 156508116]	[14229811, 151834684]	[12439546, 149736546]	[14576895, 145441459]	[12062477, 129401213]	[12858581, 124595110]	[11146694, 130694993]	[14372619, 122082543]	[9984120, 120129022]	[9660126, 120421639]	[9815951, 124902244]	[9618635, 104043685]	[7985122, 98207768]	[11934718, 94987271]	[7266116, 90702639]	[6258809, 61431566]	[9070850, 171031299]	[233548, 91744698]	[10418794, 16299]	[27336, 169725]	[40209, 241735]	[31603, 153618]	[2029, 39340]	[34885, 206961]	[10037, 66673]	[9520, 227966]	[1801, 14945]	[9246, 207968]	[9253, 191905]	[893, 1976]	[11404, 195993]	[10609, 199368]	[11123, 205776]	[10304, 184189]	[58852, 953012]	[5518, 175968]	[13750, 336933]	[41, 182347]	[185, 259875]	[80, 155838]	[313, 158099]	[12506, 40056]	[3636, 22974]	[1638, 31704]	[2350, 47073]	[2401, 42057]	[2788, 20208]	[3282, 26764]	[3458, 28664]	[4093, 31602]	[3207, 72385]	[3688, 25871]	[896, 23158]	[2392, 38659]	[1674, 35240]	[8373, 24685]	[14225, 28772]	[2165, 24668]	[23562, 23629]	[9367, 55711]	[2508, 24323]	[3220, 21240]	[945459, 114452]	[0, 0]
Kras_tumor_rep2-idxstats	[19702206, 195471971]	[21160369, 182113224]	[13813584, 160039680]	[17488790, 156508116]	[16932261, 151834684]	[14726960, 149736546]	[17485453, 145441459]	[14357909, 129401213]	[15051618, 124595110]	[13334407, 130694993]	[17595412, 122082543]	[11797169, 120129022]	[11434074, 120421639]	[11223269, 124902244]	[11444682, 104043685]	[9522954, 98207768]	[14768441, 94987271]	[8631542, 90702639]	[7733509, 61431566]	[6221979, 171031299]	[2350740, 91744698]	[10025819, 16299]	[29468, 169725]	[41736, 241735]	[32312, 153618]	[2451, 39340]	[36486, 206961]	[12802, 66673]	[12586, 227966]	[1934, 14945]	[12359, 207968]	[11472, 191905]	[976, 1976]	[11306, 195993]	[10950, 199368]	[11651, 205776]	[10751, 184189]	[60302, 953012]	[5722, 175968]	[9408, 336933]	[4311, 182347]	[5644, 259875]	[3610, 155838]	[3867, 158099]	[12848, 40056]	[4717, 22974]	[1679, 31704]	[2560, 47073]	[1382, 42057]	[3199, 20208]	[3271, 26764]	[3809, 28664]	[4141, 31602]	[1899, 72385]	[2013, 25871]	[545, 23158]	[2366, 38659]	[1606, 35240]	[8591, 24685]	[12087, 28772]	[1767, 24668]	[21044, 23629]	[9473, 55711]	[1568, 24323]	[2657, 21240]	[959758, 114452]	[0, 0]
Kras_tumor_rep3-idxstats	[25203291, 195471971]	[26297498, 182113224]	[17069928, 160039680]	[21735351, 156508116]	[21137368, 151834684]	[18291738, 149736546]	[21741069, 145441459]	[17923667, 129401213]	[18674418, 124595110]	[16371867, 130694993]	[21867308, 122082543]	[14674375, 120129022]	[14181671, 120421639]	[13882622, 124902244]	[14192109, 104043685]	[11878287, 98207768]	[17828766, 94987271]	[10711026, 90702639]	[9482471, 61431566]	[7799145, 171031299]	[3082657, 91744698]	[17852970, 16299]	[37319, 169725]	[55066, 241735]	[42021, 153618]	[3349, 39340]	[48472, 206961]	[15515, 66673]	[13939, 227966]	[2446, 14945]	[13043, 207968]	[12811, 191905]	[1172, 1976]	[15250, 195993]	[14304, 199368]	[15213, 205776]	[14159, 184189]	[80982, 953012]	[7432, 175968]	[11229, 336933]	[5952, 182347]	[7553, 259875]	[4881, 155838]	[5241, 158099]	[18383, 40056]	[5916, 22974]	[2416, 31704]	[3455, 47073]	[1693, 42057]	[1870, 20208]	[3361, 26764]	[4341, 28664]	[4755, 31602]	[2515, 72385]	[2702, 25871]	[694, 23158]	[3053, 38659]	[2485, 35240]	[12753, 24685]	[14681, 28772]	[2417, 24668]	[25202, 23629]	[13214, 55711]	[2051, 24323]	[3306, 21240]	[1143582, 114452]	[0, 0]
WT_colon_rep1-idxstats	[16145874, 195471971]	[16208166, 182113224]	[10625015, 160039680]	[13477621, 156508116]	[12930175, 151834684]	[11437306, 149736546]	[13358699, 145441459]	[10897587, 129401213]	[11436958, 124595110]	[10194503, 130694993]	[13803946, 122082543]	[8926416, 120129022]	[8812314, 120421639]	[8561710, 124902244]	[8724917, 104043685]	[7298624, 98207768]	[9937196, 94987271]	[6617512, 90702639]	[6171826, 61431566]	[4679217, 171031299]	[1729795, 91744698]	[14006542, 16299]	[19777, 169725]	[28165, 241735]	[22327, 153618]	[1821, 39340]	[24782, 206961]	[7590, 66673]	[6970, 227966]	[675, 14945]	[6472, 207968]	[6372, 191905]	[655, 1976]	[8216, 195993]	[8005, 199368]	[8633, 205776]	[7496, 184189]	[42597, 953012]	[3771, 175968]	[7294, 336933]	[3091, 182347]	[3814, 259875]	[2434, 155838]	[2772, 158099]	[9672, 40056]	[2224, 22974]	[1311, 31704]	[1869, 47073]	[913, 42057]	[991, 20208]	[2680, 26764]	[2731, 28664]	[2295, 31602]	[1243, 72385]	[1179, 25871]	[333, 23158]	[1850, 38659]	[1272, 35240]	[5032, 24685]	[9680, 28772]	[1374, 24668]	[17990, 23629]	[5775, 55711]	[972, 24323]	[2053, 21240]	[740773, 114452]	[0, 0]
WT_colon_rep2-idxstats	[16672421, 195471971]	[16347436, 182113224]	[10814454, 160039680]	[13754244, 156508116]	[13263833, 151834684]	[11543637, 149736546]	[13526214, 145441459]	[11102808, 129401213]	[11492635, 124595110]	[10501700, 130694993]	[14248005, 122082543]	[9058742, 120129022]	[8911584, 120421639]	[8524596, 124902244]	[8868283, 104043685]	[7357005, 98207768]	[10572818, 94987271]	[6715831, 90702639]	[6388048, 61431566]	[7015941, 171031299]	[221443, 91744698]	[16446101, 16299]	[18137, 169725]	[25404, 241735]	[19466, 153618]	[1567, 39340]	[22641, 206961]	[9647, 66673]	[6690, 227966]	[842, 14945]	[6125, 207968]	[6032, 191905]	[448, 1976]	[7473, 195993]	[7839, 199368]	[8555, 205776]	[6856, 184189]	[39339, 953012]	[3835, 175968]	[12232, 336933]	[125, 182347]	[233, 259875]	[140, 155838]	[304, 158099]	[10385, 40056]	[3249, 22974]	[1153, 31704]	[1809, 47073]	[1650, 42057]	[1587, 20208]	[2456, 26764]	[2350, 28664]	[2625, 31602]	[2224, 72385]	[2244, 25871]	[689, 23158]	[1686, 38659]	[1104, 35240]	[4881, 24685]	[9675, 28772]	[1462, 24668]	[16357, 23629]	[5471, 55711]	[1618, 24323]	[2353, 21240]	[714356, 114452]	[0, 0]
WT_colon_rep3-idxstats	[18748653, 195471971]	[16232990, 182113224]	[10432408, 160039680]	[13117062, 156508116]	[12494335, 151834684]	[11139779, 149736546]	[12539811, 145441459]	[10477685, 129401213]	[11139735, 124595110]	[9842784, 130694993]	[13355385, 122082543]	[8769940, 120129022]	[8712608, 120421639]	[8342736, 124902244]	[8468808, 104043685]	[7112164, 98207768]	[9489448, 94987271]	[6560375, 90702639]	[6211243, 61431566]	[6592398, 171031299]	[164227, 91744698]	[32156439, 16299]	[16403, 169725]	[23261, 241735]	[18232, 153618]	[1579, 39340]	[20087, 206961]	[5023, 66673]	[4517, 227966]	[602, 14945]	[4304, 207968]	[4821, 191905]	[305, 1976]	[7248, 195993]	[7300, 199368]	[7649, 205776]	[6701, 184189]	[37065, 953012]	[3360, 175968]	[11877, 336933]	[70, 182347]	[147, 259875]	[73, 155838]	[248, 158099]	[8189, 40056]	[2616, 22974]	[1233, 31704]	[1769, 47073]	[1753, 42057]	[931, 20208]	[2102, 26764]	[1990, 28664]	[2229, 31602]	[2066, 72385]	[1879, 25871]	[569, 23158]	[1678, 38659]	[1022, 35240]	[4118, 24685]	[8810, 28772]	[1555, 24668]	[16630, 23629]	[4966, 55711]	[1309, 24323]	[2341, 21240]	[691039, 114452]	[0, 0]
WT_tumor_rep1-idxstats	[20657102, 195471971]	[21635429, 182113224]	[14203629, 160039680]	[18405681, 156508116]	[17998589, 151834684]	[15026936, 149736546]	[18703534, 145441459]	[15326264, 129401213]	[15432720, 124595110]	[13972419, 130694993]	[19247191, 122082543]	[12061671, 120129022]	[11596903, 120421639]	[11089859, 124902244]	[12083861, 104043685]	[10206760, 98207768]	[21213130, 94987271]	[8772669, 90702639]	[8075987, 61431566]	[6187616, 171031299]	[2795921, 91744698]	[14067392, 16299]	[25866, 169725]	[38833, 241735]	[30350, 153618]	[2058, 39340]	[34230, 206961]	[19527, 66673]	[11332, 227966]	[1630, 14945]	[11251, 207968]	[10775, 191905]	[1460, 1976]	[8106, 195993]	[6842, 199368]	[7145, 205776]	[6893, 184189]	[42420, 953012]	[5367, 175968]	[9150, 336933]	[5991, 182347]	[5719, 259875]	[3909, 155838]	[5670, 158099]	[14037, 40056]	[9036, 22974]	[1520, 31704]	[2530, 47073]	[1137, 42057]	[2145, 20208]	[3154, 26764]	[3004, 28664]	[3610, 31602]	[1823, 72385]	[2638, 25871]	[528, 23158]	[1962, 38659]	[1400, 35240]	[10462, 24685]	[8880, 28772]	[1553, 24668]	[15126, 23629]	[11774, 55711]	[1699, 24323]	[2210, 21240]	[980507, 114452]	[0, 0]
